content;score
I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model;0
Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10;0
OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.;0
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now;0
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.";0
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.;0
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!";0
I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.;0
This is an expensive app. That being said, it's the most low-rent experience you can imagine. For example, when you create a list item and need to edit it, you're completely out of luck because that can't happen. The best you can do is delete it and type it in (again) correctly since edit is not an option. By the way, deleting an item from your list is a multi multi step process. (update: developer noted that editing was possible (though, multiple steps required), item deletes still impossible);0
This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential;0
Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.;0
It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever;0
This last update has brought all kinds of bugs. Lists disappearing randomly, lists getting renamed, permissions randomly getting changed. All of these problems indicated serious bugs in the data model and potentially spillage of customer data. I would suggest looking into a new tasks app because the drop in quality has been dramatic.;0
Please add Shopping List widget or add a tab to quickly access the hopping list on current widgets. Otherwise, the shopping list is too many clicks to access. The only time you can see shipping lait is when opening the app and searching around for the shopping list icon. A shopping list widget would be best as it's a visual reminder TO GO SHOPPING for the item. Currently I'm adding reminders for every item to purchase instead so that it'll actually show up in my widget.;0
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.";0
